timestamp,volume,open,high,low,close
20250929 18:52:00 America/Denver,-1,59.3,59.4,59.3,59.4
20250929 18:52:15 America/Denver,-1,59.4,59.55,59.4,59.55
20250929 18:52:30 America/Denver,-1,59.55,59.55,59.4,59.4
20250929 18:52:45 America/Denver,-1,59.4,59.4,59.4,59.4
20250929 18:53:00 America/Denver,-1,59.4,59.4,59.4,59.4
20250929 18:53:15 America/Denver,-1,59.4,59.4,59.4,59.4
20250929 18:53:30 America/Denver,-1,59.4,59.4,59.4,59.4
20250929 18:53:45 America/Denver,-1,59.4,59.4,59.4,59.4
20250929 18:54:00 America/Denver,-1,59.4,59.4,59.4,59.4
20250929 18:54:15 America/Denver,-1,59.4,59.6,59.4,59.6
20250929 18:54:30 America/Denver,-1,59.6,59.6,59.5,59.5
20250929 18:54:45 America/Denver,-1,59.5,59.5,59.5,59.5
20250929 18:55:00 America/Denver,-1,59.5,59.5,59.5,59.5
20250929 18:55:15 America/Denver,-1,59.5,59.5,59.5,59.5
20250929 18:55:30 America/Denver,-1,59.5,59.9,59.5,59.9
20250929 18:55:45 America/Denver,-1,59.9,59.9,59.9,59.9
20250929 18:56:00 America/Denver,-1,59.9,59.9,59.9,59.9
20250929 18:56:15 America/Denver,-1,59.9,59.9,59.9,59.9
20250929 18:56:30 America/Denver,-1,59.9,59.9,59.85,59.85
20250929 18:56:45 America/Denver,-1,59.85,59.85,59.8,59.8
20250929 18:57:00 America/Denver,-1,59.8,59.8,59.7,59.7
20250929 18:57:15 America/Denver,-1,59.7,59.7,59.6,59.6
20250929 18:57:30 America/Denver,-1,59.6,59.6,59.6,59.6
20250929 18:57:45 America/Denver,-1,59.6,59.6,59.6,59.6
20250929 18:58:00 America/Denver,-1,59.6,59.6,59.45,59.45
20250929 18:58:15 America/Denver,-1,59.45,59.45,59.4,59.4
20250929 18:58:30 America/Denver,-1,59.4,59.4,59.4,59.4
20250929 18:58:45 America/Denver,-1,59.4,59.4,59.3,59.3
20250929 18:59:00 America/Denver,-1,59.3,59.3,59.3,59.3
20250929 18:59:15 America/Denver,-1,59.3,59.3,59.3,59.3
20250929 18:59:30 America/Denver,-1,59.3,59.35,59.3,59.35
20250929 18:59:45 America/Denver,-1,59.35,59.35,59.35,59.35
20250929 19:00:00 America/Denver,-1,59.35,59.35,58.15,59.1
20250929 19:00:15 America/Denver,-1,59.1,59.1,56.95,58.3
20250929 19:00:30 America/Denver,-1,58.3,58.3,58.3,58.3
20250929 19:00:45 America/Denver,-1,58.3,58.3,58.3,58.3
20250929 19:01:00 America/Denver,-1,58.3,58.4,58.3,58.4
20250929 19:01:15 America/Denver,-1,58.4,58.4,58.4,58.4
20250929 19:01:30 America/Denver,-1,58.4,58.4,58.4,58.4
20250929 19:01:45 America/Denver,-1,58.4,58.4,58.3,58.3
20250929 19:02:00 America/Denver,-1,58.3,58.3,56.35,57.15
20250929 19:02:15 America/Denver,-1,57.15,57.15,57.1,57.1
20250929 19:02:30 America/Denver,-1,57.1,57.1,56.75,56.75
